Car Make,Country,Year,Mileage,Needs Repair
MINI,Sweden,2012,180517,true
Mercedes-Benz,Sweden,1993,295905,false
Lexus,Mongolia,2004,,false
Lexus,France,2010,364134,false
Chevrolet,Philippines,1999,,false
Rolls-Royce,Argentina,2005,224591,false
Pontiac,Brazil,1970,35280,false
Jaguar,Indonesia,2010,70075,false
Nissan,China,,195141,true
GMC,Argentina,2002,237555,true
Audi,South Africa,2009,380296,false
BMW,Iran,2002,412139,false
BMW,Russia,2010,229345,true
Mazda,Costa Rica,1984,50998,true
Aptera,United States,2009,38423,true
Mitsubishi,Indonesia,2000,101308,false
Volvo,Indonesia,2012,66309,true
Plymouth,Serbia,1992,103586,true
Ford,Brazil,2013,441699,false
Dodge,China,1994,497337,true
Ford,Russia,1993,,true
Suzuki,Colombia,2009,25693,true
Mazda,France,,45822,true
Ford,China,1987,167603,true
Dodge,Niger,1993,356073,false
Aston Martin,Argentina,2012,239143,true
Lamborghini,Indonesia,,292011,false
Eagle,Russia,1993,395407,true
Mazda,Guatemala,1992,,true
Suzuki,China,2005,30243,false
Suzuki,Canada,2001,226616,true
Ford,Jordan,1993,339479,true
Lamborghini,Philippines,,70930,false
BMW,Brazil,2008,323867,false
Ford,China,1988,216813,false
Nissan,China,2006,,true
Isuzu,Mexico,,136926,true
Toyota,Canada,2005,400583,true
Mercedes-Benz,Colombia,2007,268874,true
Eagle,United Kingdom,1993,311520,false
Rolls-Royce,Poland,2007,105928,true
Volkswagen,Poland,2001,70273,true
Mazda,Finland,2008,212778,false
Lotus,United States,1990,454494,false
Lincoln,Ukraine,1985,331338,true
Oldsmobile,Brazil,1993,315703,true
Lincoln,Croatia,1998,177723,false
Mitsubishi,Belarus,,429043,false
Mitsubishi,Portugal,2003,140555,true
Kia,China,2009,14896,false
Nissan,China,2006,378535,true
Volvo,Serbia,1995,399616,true
Dodge,Portugal,1995,202818,true
Suzuki,Russia,2003,54769,true
Mercury,Indonesia,2010,,true
Ford,Indonesia,2009,,false
Chevrolet,Mongolia,2002,71787,false
Chevrolet,Vietnam,1999,,true
Volkswagen,China,1988,158170,false
Chevrolet,Indonesia,2011,279245,false
Jaguar,Jamaica,2005,434388,true
Saturn,Pakistan,1997,485061,false
Dodge,Indonesia,1999,242288,false
Infiniti,Serbia,2006,,true
Oldsmobile,Portugal,1993,151418,true
Oldsmobile,Cyprus,2003,,true
Toyota,Niger,2006,491353,false
Ford,Czech Republic,1984,280711,false
Mazda,China,2007,121123,true
Austin,China,1964,,false
Aston Martin,Philippines,2009,289763,false
Oldsmobile,Portugal,1992,170406,false
Plymouth,Indonesia,2000,497736,false
Mercury,United States,1998,329547,false
Mitsubishi,Philippines,1998,403209,true
Volkswagen,Russia,2010,,true
Ford,Portugal,2001,72385,true
Dodge,Indonesia,2004,,true
Hyundai,Latvia,2010,400361,true
Chevrolet,China,2006,390480,false
Chevrolet,Brazil,,,true
Chevrolet,Myanmar,2011,,true
Honda,Philippines,2004,344625,true
Bentley,Indonesia,2009,412145,false
Buick,Brazil,1989,,true
Mazda,Republic of the Congo,1993,223357,false
Lexus,China,1999,,false
Mercedes-Benz,Brazil,2005,80929,true
Toyota,China,1999,253498,false
Kia,Ireland,,378036,true
Nissan,China,2005,260757,false
Honda,Mali,2007,234089,true
GMC,United States,1994,268612,false
Buick,China,,26783,false
Buick,Malaysia,1999,212579,false
Ford,China,2012,,true
Audi,Japan,,496463,true
Volkswagen,China,2012,429677,false
Volkswagen,China,2000,253514,true
GMC,China,2009,325354,true
Toyota,Portugal,2002,44699,true
Land Rover,China,2011,292972,true
Infiniti,Philippines,2012,54958,true
Volkswagen,South Africa,2012,308718,true
Volvo,Philippines,2013,,true
Honda,Dominican Republic,1986,,false
Buick,Thailand,1993,149501,false
Audi,Poland,1987,335749,true
BMW,Turkmenistan,2004,476345,false
GMC,Philippines,1996,495540,true
Mitsubishi,Luxembourg,2010,61132,true
Lincoln,Sweden,2001,129488,true
Chrysler,China,2002,245611,true
Ford,Indonesia,1995,,false
Toyota,Russia,2006,,true
Chevrolet,China,2003,366068,false
Jeep,Democratic Republic of the Congo,2005,360043,false
Toyota,Sweden,2009,,false
Ford,Tanzania,1993,21042,false
Chrysler,Indonesia,1999,310763,true
Toyota,Indonesia,2006,421136,true
Honda,Curacao,2001,120430,false
Nissan,Guatemala,2006,,false
Mazda,Dominican Republic,2000,354542,false
Chevrolet,Indonesia,2010,43913,false
Mazda,Indonesia,1990,200219,true
Ford,Indonesia,1990,322719,false
BMW,Yemen,2004,,false
Dodge,China,,132361,false
Lamborghini,Afghanistan,2005,376302,true
Mercedes-Benz,Gambia,1992,414002,false
GMC,Poland,1992,356117,true
Honda,Czech Republic,2004,97155,false
Buick,United States,1998,109183,true
Subaru,Brazil,2008,146381,false
GMC,Syria,2007,64733,false
Alfa Romeo,Slovenia,1992,83287,true
Chrysler,China,2005,469425,true
Lincoln,China,2012,208650,false
Hyundai,Russia,2012,365008,false
Mazda,Cambodia,,350107,false
Ford,China,1992,285090,false
Lincoln,Serbia,2007,268677,true
Plymouth,China,1964,,true
Dodge,Cyprus,1998,339610,false
Infiniti,Russia,2011,141931,true
Oldsmobile,France,,301328,true
Rolls-Royce,Poland,2005,390880,true
Audi,Ukraine,1993,138943,false
BMW,China,2007,107646,false
Toyota,Palestinian Territory,2005,347312,false
Acura,France,1998,165513,true
Ford,Madagascar,2001,415932,true
Lexus,Finland,2011,489569,false
Jaguar,Indonesia,2005,130893,true
Nissan,France,1999,445495,false
Ford,Philippines,2011,425705,false
Acura,South Africa,1996,374579,false
Chrysler,Portugal,2008,299233,false
Mitsubishi,Russia,2004,452917,false
Chevrolet,Israel,,107703,false
Chevrolet,Finland,2003,192426,false
Chevrolet,Gambia,2006,210319,false
Pontiac,Sweden,1991,332888,true
GMC,Philippines,1993,358691,true
Lexus,Indonesia,1998,54505,false
Oldsmobile,Pakistan,1996,475702,false
BMW,Philippines,2001,430418,false
Lincoln,Poland,1996,434246,false
Buick,Malawi,2005,,false
Lincoln,China,2010,59306,true
Land Rover,Colombia,2002,273843,true
Dodge,China,2008,82953,false
Volkswagen,United States,2008,108897,false
Chevrolet,Indonesia,2010,267312,true
Honda,Nigeria,2007,363549,true
Audi,Russia,2011,80133,true
Ford,France,1989,452311,false
Dodge,Slovenia,2006,125282,false
Land Rover,Germany,2004,,true
GMC,Albania,2004,230409,false
Ford,China,1989,65822,true
GMC,Pakistan,2000,183228,true
Rolls-Royce,Iran,2011,193683,false
Mitsubishi,Morocco,1990,186648,false
Pontiac,Honduras,1999,207295,false
Mitsubishi,Indonesia,,,true
Volkswagen,Luxembourg,,330812,false
Ford,Brazil,2006,232335,true
GMC,China,2013,377091,false
Ford,China,1990,118076,true
GMC,Nigeria,1992,143398,true
GMC,Sweden,2012,425212,false
Ford,Russia,,427925,false
Infiniti,Peru,1995,257154,false
BMW,Belarus,1994,334725,false
Chrysler,Western Sahara,1995,417100,true
Ford,Czech Republic,2006,491329,false
Mazda,United States,2003,421022,false
Subaru,Sweden,1986,19873,false
Mitsubishi,Indonesia,1996,,true
Mazda,South Africa,1989,28541,true
Audi,Indonesia,,457953,true
Ford,China,1988,221859,false
Subaru,Ethiopia,2009,189418,true
Buick,Philippines,1985,147654,true
Mercury,China,,,false
Pontiac,Canada,2008,294765,true
Ford,Colombia,1999,146501,false
Mercedes-Benz,China,2007,240428,true
Cadillac,Venezuela,1995,324987,false
Ford,China,2008,44461,false
Audi,Japan,2000,58580,false
